,congressperson,first_pc,party,dw.nom.1
0,senatorcollins,-0.26461834,R,0.107
1,senatorleahy,-1.331436,D,-0.392
2,senfeinstein,-0.58433,D,-0.286
3,senjohnthune,1.3696493,R,0.387
4,stabenow,-0.19655414,D,-0.347
5,senbobcasey,-1.3532045,D,-0.355
6,senatorburr,1.937088,R,0.463
7,chriscoons,-0.97208256,D,
8,senrandpaul,1.880532,R,0.941
9,senatorbarb,-0.78384566,D,-0.395
10,senatordurbin,-1.1035761,D,-0.396
11,robportman,1.3834246,R,
12,senwhitehouse,-1.980077,D,
13,jerrymoran,1.2430353,R,
14,senronjohnson,1.5595157,R,0.679
15,sensherrodbrown,-0.67635643,D,-0.478
16,senbobcorker,0.88167715,R,0.381
17,kayhagan,0.82192534,D,-0.246
18,senatorshaheen,-1.5077325,D,
19,sen_joemanchin,-0.033657752,D,-0.144
20,senatormenendez,-1.4627633,D,-0.391
21,senblumenthal,-1.3906862,D,-0.351
22,senatorkirk,0.21924049,R,0.225
23,senatorbennet,-0.31711122,D,
24,senatorboxer,-1.2216374,D,-0.494
25,senjohnbarrasso,1.3164091,R,0.532
26,johncornyn,2.0073335,R,0.491
27,jeffflake,1.5412698,R,0.988
28,davidvitter,2.7599268,R,0.485
29,royblunt,2.283017,R,
30,jeffsessions,0.65695745,R,0.522
31,lisamurkowski,0.3053766,R,0.241
32,ronwyden,-1.5324355,D,
33,senjeffmerkley,-1.9340764,D,-0.441
34,senatorbegich,0.23942684,D,-0.265
35,mcconnellpress,0.9199793,R,0.407
36,chuckgrassley,-0.13075167,R,0.329
37,sengillibrand,-2.5014937,D,-0.29
38,sendancoats,1.0913948,R,0.362
39,sentoomey,0.32187435,R,0.684
40,senmarkey,-2.0276208,D,-0.535
41,senatortomudall,-0.70881283,D,-0.492
42,pattymurray,-1.1769824,D,-0.375
43,senatorharkin,-1.1671596,D,-0.383
44,senalexander,0.82694155,R,0.323
45,senmikelee,1.5994507,R,0.923
46,senatorcardin,-1.0165099,D,-0.356
47,markudall,-0.17672352,D,-0.394
48,tomcoburn,0.72151554,R,0.797
49,senbillnelson,0.07215682,D,-0.195
50,chuckschumer,-1.2798865,D,-0.379
51,johnboozman,1.4087714,R,0.406
52,franklautenberg,-1.0037884,D,-0.417
53,senatorreid,-1.062638,D,-0.304
54,grahamblog,1.5306638,R,0.431
